NDISKS	ELAPSED
1	9.6e-05
1	0.000104
1	9e-05
1	5.8e-05
1	5.8e-05
1	5.7e-05
1	5.8e-05
1	5.8e-05
1	5.8e-05
1	5.8e-05
1	5.8e-05
1	5.8e-05
1	5.8e-05
1	9.9e-05
1	5.8e-05
2	0.000316
2	0.000287
2	0.000287
2	0.000287
2	0.000287
2	0.000288
2	0.000287
2	0.000287
2	0.000287
2	0.000287
2	0.000287
2	0.000287
2	0.000287
2	0.000322
2	0.000287
3	0.001023
3	0.000991
3	0.001012
3	0.00108
3	0.001028
3	0.001006
3	0.001012
3	0.001171
3	0.001011
3	0.001032
3	0.000995
3	0.001046
3	0.00103
3	0.001025
3	0.001056
4	0.002673
4	0.002762
4	0.002539
4	0.002549
4	0.002506
4	0.00273
4	0.002498
4	0.00253
4	0.002507
4	0.002629
4	0.002612
4	0.002437
4	0.002641
4	0.002489
4	0.002553
5	0.005871
5	0.005664
5	0.005986
5	0.005657
5	0.005675
5	0.005927
5	0.005734
5	0.005838
5	0.005705
5	0.005746
5	0.005814
5	0.005677
5	0.005748
5	0.005637
5	0.005796
6	0.013143
6	0.013544
6	0.012835
6	0.012927
6	0.012539
6	0.012243
6	0.012214
6	0.0125
6	0.012337
6	0.01276
6	0.012562
6	0.01293
6	0.012444
6	0.012909
6	0.012648
7	0.027747
7	0.027857
7	0.027217
7	0.02788
7	0.027586
7	0.028134
7	0.028255
7	0.027985
7	0.027224
7	0.027412
7	0.027923
7	0.027047
7	0.027255
7	0.026996
7	0.027818
8	0.056663
8	0.056817
8	0.057573
8	0.056831
8	0.055434
8	0.057256
8	0.057102
8	0.056991
8	0.056551
8	0.05798
8	0.056378
8	0.05693
8	0.058025
8	0.057178
8	0.057229
9	0.11716
9	0.119909
9	0.116315
9	0.116614
9	0.116215
9	0.116091
9	0.117661
9	0.117291
9	0.116473
9	0.115232
9	0.116116
9	0.116625
9	0.117249
9	0.116989
9	0.115787
10	0.237495
10	0.234465
10	0.232983
10	0.231463
10	0.232742
10	0.233811
10	0.234663
10	0.231882
10	0.231778
10	0.232607
10	0.23213
10	0.234279
10	0.23206
10	0.238064
10	0.233297
11	0.469673
11	0.466574
11	0.46927
11	0.468506
11	0.467936
11	0.467055
11	0.471279
11	0.469575
11	0.468145
11	0.470108
11	0.470006
11	0.468933
11	0.471159
11	0.469775
11	0.468794
12	0.940041
12	0.938939
12	0.947264
12	0.956267
12	0.944299
12	0.946846
12	0.976795
12	0.957854
12	0.942454
12	0.947923
12	0.962067
12	0.946449
12	0.945495
12	0.951086
12	0.945024
13	1.89241
13	1.90663
13	1.90551
13	1.90501
13	1.90059
13	1.91368
13	1.9093
13	1.90074
13	1.90094
13	1.90245
13	1.91033
13	1.90653
13	1.90158
13	1.90079
13	1.91388
14	3.86192
14	3.88815
14	3.82961
14	3.82506
14	3.8318
14	3.8699
14	3.82005
14	3.82157
14	3.813
14	3.83084
14	3.80989
14	3.86113
14	3.81052
14	3.80372
14	3.78902
15	7.66199
15	7.65343
15	7.65411
15	7.66359
15	7.69241
15	7.63312
15	7.64794
15	7.64713
15	7.72455
15	7.6834
15	7.65723
15	7.63137
15	7.66757
15	7.70446
15	7.69289
16	14.9
16	15.8
16	14.9
16	14.9
16	14.9
16	14.9
16	14.9
16	14.9
16	14.8
16	14.9
16	14.9
16	14.9
16	14.9
16	14.9
16	14.9
17	29.7
17	33.4
17	29.7
17	29.8
17	29.8
17	29.8
17	29.7
17	29.7
17	29.7
17	29.8
17	29.8
17	29.7
17	29.7
17	29.8
17	33.5
18	59.6
18	59.6
18	59.6
18	59.6
18	59.6
18	59.6
18	63.1
18	59.6
18	59.6
18	59.6
18	59.6
18	59.6
18	64.7
18	63.3
18	59.7
19	119.4
19	123
19	123.1
19	119.3
19	119.3
19	123.3
19	119.4
19	119.3
19	126.8
19	119.3
19	119.3
19	119.3
19	122.8
19	119.3
19	119.3
20	242.7
20	242.6
20	238.9
20	242.6
20	239.1
20	242.7
20	244.2
20	238.9
20	242.8
20	238.9
20	243.1
20	242.5
20	238.9
20	242.7
20	239.1
21	512.2
21	481.4
21	482
21	481.7
21	486.5
21	481.7
21	481.5
21	499.9
21	483.2
21	485.8
21	493.4
21	497.4
21	481.6
21	513.2
21	489
22	984
22	1004.5
22	1019.9
22	1005
22	982.4
22	1001.6
22	994.9
22	1044.4
22	996.3
22	1025.8
22	992
22	1040
22	1025.5
22	1008.4
22	998.4
23	2050.8
23	2067.1
23	2021.7
23	1986.5
23	1960
23	1933.6
23	2003.5
23	2014.7
23	1988.6
23	1982.8
23	2018.3
23	2033.4
23	1961.3
23	1960
23	1967.2
24	4054.5
24	4147.6
24	4048.3
24	3919.3
24	3944.9
24	4013
24	4122
24	3958
24	3944.7
24	3971.4
24	4111.9
24	4634.8
24	4037.6
24	4071.9
24	4126.7
25	8166.2
25	8192.1
25	8206.1
25	8064.8
25	8043.5
25	8026.3
25	8072.2
25	8060.1
25	8001.7
25	8056.1
25	8109.6
25	11247.7
25	7907
25	8085.2
25	8024.9
26	16382.9
26	16436
26	16016.8
26	16255.8
26	16191.7
26	16198.3
26	16450.4
26	16055.4
26	16260.4
26	16261.9
26	16095.3
26	16268.3
26	16273.7
26	16205.1
26	16155.4
