NDISKS	ELAPSED
1	0.000281
1	0.000201
1	0.000201
1	0.000201
1	0.000201
1	0.000201
1	0.000201
1	0.000201
1	0.000201
1	0.000201
1	0.000201
1	0.000202
1	0.000201
1	0.000201
1	0.000201
2	0.000628
2	0.000671
2	0.000688
2	0.000605
2	0.00061
2	0.000631
2	0.000631
2	0.000644
2	0.00064
2	0.00064
2	0.000621
2	0.000656
2	0.000697
2	0.000682
2	0.000638
3	0.001632
3	0.001453
3	0.001434
3	0.001453
3	0.001437
3	0.001432
3	0.001391
3	0.001461
3	0.001446
3	0.001478
3	0.001433
3	0.001404
3	0.001355
3	0.00149
3	0.001398
4	0.003223
4	0.003083
4	0.003103
4	0.003043
4	0.003096
4	0.003098
4	0.003188
4	0.003043
4	0.003185
4	0.003102
4	0.003099
4	0.003099
4	0.003043
4	0.003153
4	0.00308
5	0.006588
5	0.006574
5	0.00647
5	0.006668
5	0.006426
5	0.006439
5	0.006444
5	0.006757
5	0.006812
5	0.006392
5	0.006428
5	0.006408
5	0.006565
5	0.006694
5	0.006392
6	0.013522
6	0.013558
6	0.013547
6	0.013353
6	0.013548
6	0.013418
6	0.013218
6	0.013161
6	0.013717
6	0.013359
6	0.013194
6	0.013197
6	0.013172
6	0.013197
6	0.013356
7	0.029049
7	0.029126
7	0.029453
7	0.028449
7	0.029322
7	0.029256
7	0.028754
7	0.029308
7	0.029897
7	0.028789
7	0.029748
7	0.029821
7	0.028989
7	0.028467
7	0.028089
8	0.057031
8	0.05846
8	0.058452
8	0.058537
8	0.057132
8	0.058247
8	0.058063
8	0.058279
8	0.056049
8	0.056432
8	0.056264
8	0.056392
8	0.056402
8	0.057561
8	0.056165
9	0.117241
9	0.116702
9	0.116762
9	0.116334
9	0.116886
9	0.117807
9	0.115881
9	0.114932
9	0.116846
9	0.115964
9	0.116854
9	0.116728
9	0.117292
9	0.117169
9	0.116877
10	0.236155
10	0.233087
10	0.233589
10	0.23675
10	0.233564
10	0.232896
10	0.2367
10	0.235204
10	0.236483
10	0.230406
10	0.231729
10	0.238059
10	0.235862
10	0.235063
10	0.231422
11	0.472924
11	0.468113
11	0.471946
11	0.472209
11	0.469162
11	0.473518
11	0.470955
11	0.468904
11	0.477078
11	0.468296
11	0.487399
11	0.470705
11	0.476748
11	0.475738
11	0.476738
12	0.948309
12	0.950213
12	0.946668
12	0.955431
12	0.951679
12	0.964379
12	0.957201
12	0.949255
12	0.946263
12	0.952384
12	0.946825
12	0.94786
12	0.946811
12	0.949108
12	0.951639
13	1.92727
13	1.92265
13	1.91317
13	1.92199
13	1.92642
13	1.93112
13	1.92762
13	1.92281
13	1.9348
13	1.91614
13	1.91606
13	1.92172
13	1.93146
13	1.92369
13	1.92005
14	3.97179
14	3.98244
14	3.89944
14	3.92671
14	3.90364
14	3.97067
14	3.87928
14	3.91914
14	3.90521
14	3.87584
14	3.8744
14	3.86822
14	3.86008
14	3.86217
14	3.87656
15	7.7949
15	7.73442
15	7.75597
15	7.77814
15	7.80669
15	7.75091
15	7.75386
15	7.74844
15	7.76008
15	7.81847
15	7.83636
15	7.9709
15	7.96935
15	7.75481
15	7.78545
16	23
16	22.3
16	19.2
16	19.1
16	14.9
16	15
16	14.9
16	15
16	14.9
16	15
16	15
16	14.9
16	14.9
16	15
16	15
17	29.9
17	29.9
17	29.9
17	30
17	34.1
17	29.9
17	29.9
17	29.9
17	29.9
17	30
17	30
17	29.9
17	29.9
17	29.9
17	29.9
18	59.8
18	66.3
18	59.8
18	59.7
18	59.8
18	59.8
18	59.8
18	63.9
18	59.8
18	59.9
18	59.8
18	59.8
18	59.8
18	59.9
18	64.9
19	119.5
19	119.5
19	119.7
19	131.1
19	119.7
19	119.6
19	129.2
19	119.7
19	119.6
19	123
19	119.6
19	119.5
19	124.7
19	119.6
19	119.5
20	249.6
20	239
20	242.8
20	245.4
20	239
20	256.4
20	239.1
20	259.5
20	250.3
20	239.2
20	254.8
20	245.5
20	239
20	243
20	239.3
21	520.5
21	493.1
21	500
21	510.6
21	511.2
21	489.9
21	519.7
21	481.9
21	490.3
21	493.2
21	481.9
21	506.9
21	519.8
21	482.5
21	497.1
22	1012.9
22	979.3
22	1029.5
22	1012.9
22	1009.7
22	989.8
22	1012.5
22	991.2
22	1033.9
22	964.5
22	1043.6
22	1015.8
22	1026.5
22	991.3
22	1044.1
23	2030.8
23	2041.9
23	2044.6
23	1962.1
23	1944
23	2007.3
23	2007.3
23	1967.8
23	2021
23	2074.2
23	2044.8
23	2054.3
23	1973
23	2024.5
23	1950.3
24	4073.9
24	3968.1
24	4016.4
24	3998.5
24	3971
24	4079.9
24	4088.8
24	4034.1
24	4031
24	4047.1
24	4065.5
24	4110.1
24	4130.7
24	4079.7
24	4080.6
25	7990.2
25	8031.3
25	8133.4
25	8159.9
25	8060.7
25	8234
25	8120
25	8173.9
25	8050.6
25	8165.8
25	8192
25	8055.8
25	8032.6
25	8132.3
25	8161.5
26	15973.3
26	16238.2
26	16181.3
26	16151.4
26	16142.9
26	16150.3
26	16191.9
26	17145.6
26	17108.9
26	16556.1
26	16003.3
26	16107.6
26	16036.4
26	16019
26	16247.6
