NDISKS	ELAPSED
11	0.000765
11	0.000732
11	0.000733
11	0.0007
11	0.0007
11	0.000735
11	0.000699
11	0.000698
11	0.000699
11	0.0007
11	0.000754
11	0.000699
11	0.0007
11	0.000699
11	0.0007
22	0.001805
22	0.00166
22	0.001729
22	0.00166
22	0.001663
22	0.001716
22	0.001663
22	0.001717
22	0.001691
22	0.001823
22	0.001716
22	0.001719
22	0.001747
22	0.001719
22	0.00175
33	0.003963
33	0.003847
33	0.003844
33	0.003845
33	0.003906
33	0.003994
33	0.003967
33	0.004025
33	0.003931
33	0.003938
33	0.003852
33	0.003814
33	0.004163
33	0.003922
33	0.003826
44	0.008277
44	0.008253
44	0.008376
44	0.008509
44	0.010898
44	0.011728
44	0.008295
44	0.008015
44	0.008018
44	0.008119
44	0.008004
44	0.007994
44	0.008017
44	0.008006
44	0.007978
55	0.016382
55	0.016387
55	0.016389
55	0.016525
55	0.016504
55	0.016402
55	0.016385
55	0.016386
55	0.016415
55	0.016413
55	0.016457
55	0.016417
55	0.016386
55	0.016385
55	0.016377
66	0.033264
66	0.033244
66	0.03331
66	0.033388
66	0.033245
66	0.033272
66	0.033245
66	0.033279
66	0.033279
66	0.033254
66	0.033334
66	0.033303
66	0.033294
66	0.033334
66	0.033264
77	0.067322
77	0.06693
77	0.066952
77	0.066956
77	0.066924
77	0.066983
77	0.066939
77	0.066888
77	0.067102
77	0.06713
77	0.066884
77	0.06694
77	0.066986
77	0.066888
77	0.066994
88	0.134246
88	0.134249
88	0.134247
88	0.134223
88	0.134258
88	0.134252
88	0.134423
88	0.133709
88	0.13351
88	0.133433
88	0.133655
88	0.133514
88	0.133611
88	0.133973
88	0.13431
99	0.267299
99	0.266834
99	0.267232
99	0.267627
99	0.268569
99	0.268616
99	0.26684
99	0.266901
99	0.268353
99	0.268428
99	0.269347
99	0.268897
99	0.268882
99	0.269393
99	0.26942
1010	0.537491
1010	0.537862
1010	0.537884
1010	0.541938
1010	0.537923
1010	0.539682
1010	0.53634
1010	0.538359
1010	0.537867
1010	0.53788
1010	0.538099
1010	0.537939
1010	0.537165
1010	0.534265
1010	0.533821
1111	1.06963
1111	1.08021
1111	1.07678
1111	1.07813
1111	1.07576
1111	1.07629
1111	1.07605
1111	1.07593
1111	1.07677
1111	1.09676
1111	1.0863
1111	1.08259
1111	1.072
1111	1.07351
1111	1.07597
1212	2.16382
1212	2.1705
1212	2.16496
1212	2.17153
1212	2.16726
1212	2.16899
1212	2.17024
1212	2.162
1212	2.15767
1212	2.16573
1212	2.16538
1212	2.15757
1212	2.15567
1212	2.15727
1212	2.1474
1313	4.29525
1313	4.31703
1313	4.31264
1313	4.31262
1313	4.35219
1313	4.3186
1313	4.31153
1313	4.31685
1313	4.31308
1313	4.31165
1313	4.36813
1313	4.31079
1313	4.3276
