NVECTOR	ELAPSED
5000	0.045874
5000	0.047201
5000	0.054719
5000	0.075295
5000	0.047244
5000	0.044999
5000	0.044763
5000	0.044718
5000	0.044789
5000	0.04467
5000	0.044718
5000	0.045071
5000	0.044852
5000	0.044859
5000	0.044856
12000	0.260256
12000	0.26106
12000	0.260146
12000	0.26048
12000	0.260313
12000	0.260351
12000	0.261095
12000	0.268456
12000	0.279998
12000	0.26606
12000	0.269745
12000	0.269053
12000	0.295473
12000	0.26661
12000	0.269374
19000	0.684129
19000	0.669545
19000	0.72605
19000	0.678704
19000	0.682684
19000	0.66939
19000	0.658163
19000	0.651922
19000	0.665691
19000	0.663061
19000	0.658558
19000	0.654552
19000	0.666836
19000	0.686726
19000	0.676344
26000	1.27265
26000	1.25567
26000	1.22646
26000	1.27435
26000	1.30104
26000	1.26529
26000	1.24341
26000	1.22987
26000	1.22677
26000	1.22456
26000	1.22529
26000	1.2528
26000	1.2291
26000	1.22524
26000	1.22427
33000	1.9792
33000	2.01012
33000	2.01492
33000	1.97752
33000	1.97412
33000	1.97688
33000	1.97374
33000	1.97271
33000	1.97949
33000	1.97845
33000	1.98181
33000	1.97401
33000	1.98457
33000	1.98578
33000	1.97524
40000	2.91406
40000	2.92282
40000	2.90628
40000	2.91177
40000	2.90876
40000	2.90671
40000	2.92349
40000	2.9152
40000	2.90761
40000	2.92036
40000	2.91771
40000	2.92102
40000	2.92028
40000	2.9164
40000	2.90921
47000	4.03075
47000	4.03218
47000	4.02247
47000	4.02777
47000	4.02957
47000	4.02441
47000	4.03281
47000	4.05398
47000	4.04308
47000	4.04289
47000	4.02049
47000	4.03717
47000	4.03719
47000	4.02754
47000	4.02063
54000	5.32202
54000	5.32543
54000	5.50741
54000	5.48311
54000	5.29993
54000	5.31044
54000	5.37556
54000	5.31012
54000	5.31281
54000	5.31658
54000	5.31537
54000	5.35513
54000	5.33191
54000	5.33995
54000	5.29967
61000	6.82489
61000	6.80216
61000	6.75774
61000	6.77509
61000	6.78314
61000	6.76549
61000	6.76558
61000	6.76957
61000	6.76705
61000	6.77046
61000	6.87294
61000	7.08256
61000	6.85326
61000	6.75153
61000	6.77802
68000	8.46159
68000	8.75385
68000	8.43094
68000	8.44852
68000	8.51825
68000	8.51902
68000	8.46108
68000	8.46062
68000	8.41819
68000	8.44613
68000	8.4059
68000	8.42015
68000	8.45763
68000	8.4242
