NVECTOR	ELAPSED
20	0.000436
20	0.000433
20	0.000481
20	0.00047
20	0.000465
20	0.000433
20	0.000431
20	0.000433
20	0.000432
20	0.000445
20	0.000447
20	0.000445
20	0.000446
20	0.000512
20	0.000466
20	0.001031
20	0.00101
20	0.000967
20	0.000963
20	0.001
20	0.000963
20	0.000966
20	0.000968
20	0.000964
20	0.000964
20	0.000965
20	0.001001
20	0.000966
20	0.000998
20	0.000964
20	0.001557
20	0.001517
20	0.001548
20	0.001553
20	0.001514
20	0.001517
20	0.00155
20	0.001589
20	0.001516
20	0.001522
20	0.001515
20	0.001518
20	0.001553
20	0.001514
20	0.001513
20	0.002168
20	0.002209
20	0.002123
20	0.002167
20	0.002125
20	0.002126
20	0.002485
20	0.002159
20	0.002127
20	0.002224
20	0.00216
20	0.00221
20	0.002227
20	0.002166
20	0.002128
20	0.002708
20	0.002748
20	0.002772
20	0.00274
20	0.00274
20	0.002734
20	0.00274
20	0.002752
20	0.002711
20	0.002704
20	0.002741
20	0.002707
20	0.002705
20	0.0027
20	0.002745
20	0.003378
20	0.00341
20	0.003373
20	0.003369
20	0.003366
20	0.003367
20	0.003372
20	0.003369
20	0.003377
20	0.003365
20	0.003365
20	0.003336
20	0.00333
20	0.003372
20	0.003375
20	0.004013
20	0.004157
20	0.004012
20	0.003976
20	0.004015
20	0.004014
20	0.004037
20	0.004013
20	0.004017
20	0.003997
20	0.003997
20	0.004005
20	0.004011
20	0.004015
20	0.00401
20	0.004698
20	0.004693
20	0.004695
20	0.004728
20	0.004728
20	0.004725
20	0.004694
20	0.004696
20	0.004731
20	0.00466
20	0.004716
20	0.004664
20	0.004663
20	0.004655
20	0.004658
20	0.005341
20	0.005294
20	0.005328
20	0.005297
20	0.005301
20	0.005303
20	0.005338
20	0.005318
20	0.005461
20	0.005293
20	0.005304
20	0.00533
20	0.005296
20	0.005345
20	0.005321
20	0.00598
20	0.005938
20	0.005942
20	0.005944
20	0.005907
20	0.005941
20	0.005993
20	0.005999
20	0.005931
20	0.005976
20	0.005987
20	0.005947
20	0.005982
20	0.005933
20	0.005929
20	0.006649
20	0.006664
20	0.006692
20	0.006698
20	0.006697
20	0.006631
20	0.006708
20	0.006692
20	0.006686
20	0.006715
20	0.006701
20	0.006662
20	0.006709
20	0.006669
20	0.006626
20	0.007347
20	0.007304
20	0.007302
20	0.007272
20	0.007293
20	0.007335
20	0.00733
20	0.00742
20	0.007336
20	0.007335
20	0.007341
20	0.007349
20	0.007337
20	0.007276
20	0.007277
20	0.008046
20	0.008053
20	0.008027
20	0.008033
20	0.00802
20	0.008032
20	0.008064
20	0.008037
20	0.007968
20	0.007969
20	0.008022
20	0.00805
20	0.008022
20	0.008027
20	0.008025
20	0.008765
20	0.008715
20	0.008717
20	0.008753
20	0.00875
20	0.00872
20	0.00871
20	0.008719
20	0.008817
20	0.008704
20	0.008714
20	0.0088
20	0.008709
20	0.008708
20	0.008745
20	0.009467
20	0.009387
20	0.009346
20	0.009418
20	0.009493
20	0.009354
20	0.009478
20	0.009436
20	0.009418
20	0.00941
20	0.009426
20	0.009416
20	0.009332
20	0.009421
20	0.009347
20	0.010196
20	0.010217
20	0.010166
20	0.010216
20	0.01022
20	0.010273
20	0.010197
20	0.010229
20	0.010228
20	0.010209
20	0.010122
20	0.010179
20	0.010113
20	0.010219
20	0.010177
20	0.011336
20	0.010927
20	0.010836
20	0.010728
20	0.010737
20	0.010776
20	0.0109
20	0.010836
20	0.010829
20	0.010943
20	0.010859
20	0.010936
20	0.010833
20	0.010841
20	0.010967
20	0.011565
20	0.011536
20	0.011615
20	0.011601
20	0.011548
20	0.011543
20	0.011533
20	0.011628
20	0.011499
20	0.011539
20	0.011514
20	0.011532
20	0.011541
20	0.011522
20	0.011514
20	0.012221
20	0.012219
20	0.01214
20	0.012224
20	0.012217
20	0.012234
20	0.012287
20	0.01223
20	0.012207
20	0.012215
20	0.012196
20	0.012278
20	0.012242
20	0.01227
20	0.012153
