20000	0.025997	0.009975
27200	0.033895	0.013017
34400	0.045079	0.016857
41600	0.054416	0.020067
48800	0.064654	0.023678
56000	0.071191	0.026809
63200	0.079240	0.030395
70400	0.091820	0.033712
77600	0.105188	0.037201
84800	0.114209	0.040722
92000	0.125485	0.044237
99200	0.134078	0.047767
106400	0.135299	0.051151
113600	0.146760	0.054867
120800	0.158121	0.058149
128000	0.167464	0.061647
135200	0.178722	0.065227
142400	0.189736	0.068611
149600	0.196644	0.071973
156800	0.206207	0.075572
164000	0.214914	0.079256
171200	0.228524	0.082530
178400	0.243632	0.086174
185600	0.259724	0.089604
192800	0.257433	0.092932
200000	0.264575	0.096879
